File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553284191.html,168,167,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553435856.html,170,169,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553692118.html,184,183,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553693736.html,184,183,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553705215.html,207,205,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553705955.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553707975.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553709932.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553711244.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553711332.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553711515.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553711532.html,152,150,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553712862.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553713533.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553726738.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553733738.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553734525.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verloren_1553736713.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\style1_1553705138.css,336,278,239,0,58,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\style1_1553706976.css,313,277,240,0,36,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\style1_1553707970.css,399,352,304,0,47,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\style1_1553709934.css,423,373,319,0,50,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\style1_1553713863.css,423,373,319,0,50,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\style1_1553726492.css,423,373,319,0,50,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\style1_1553734525.css,421,371,317,0,50,0,0,0,0,0
